MP name	Nature of membership	State	Constituency	Political party	Gender	Educational qualifications	Age	Debates	Questions	Attendance	State's Debates average	State's Private Member Bills  average	State's Questions average	State's Attendance average
A. Ganeshamurthi	Elected	Tamil Nadu	Erode	Marumalarchi Dravida Munnetra Kazhagam	Male	Graduate	65	22	263	73%	34.2	0.2	261	73%
A.K.S. Vijayan	Elected	Tamil Nadu	Nagapattinam	Dravida Munnetra Kazhagam	Male	Graduate	50	18	184	55%	34.2	0.2	261	73%
A.T. Nana Patil	Elected	Maharashtra	Jalgaon	Bharatiya Janata Party	Male	Graduate	50	52	457	84%	21	1.2	354	74%
Abdul Mannan Hossain	Elected	West Bengal	Murshidabad	Indian National Congress	Male	Graduate	59	0	0	58%	34.8	0.8	135	72%
Abdul Rahman	Elected	Tamil Nadu	Vellore	Dravida Munnetra Kazhagam	Male	Post Graduate	53	21	357	66%	34.2	0.2	261	73%
Abu Hasem Khan Choudhury	Elected	West Bengal	Maldaha Dakshin	Indian National Congress	Male	Graduate	74	3	8	77%	34.8	0.8	135	72%
Adagooru H Vishwanath	Elected	Karnataka	Mysore	Indian National Congress	Male	Graduate	62	2	207	66%	14.4	0.2	243	70%
Adhi Sankar	Elected	Tamil Nadu	Kallakurichi	Dravida Munnetra Kazhagam	Male	Graduate	55	8	74	53%	34.2	0.2	261	73%
Adhir Ranjan Chowdhury	Elected	West Bengal	Baharampur	Indian National Congress	Male	Under Matric	56	85	307	82%	34.8	0.8	135	72%
Agatha K. Sangma	Elected	Meghalaya	Tura	Nationalist Congress Party	Female	Post Graduate	32	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ajay Kumar	Elected	Jharkhand	Jamshedpur	Jharkhand Vikas Morcha (Prajatantrik)	Male	Professional Graduate	50	15	54	75%	13.4	0.5	73	65%
Ajay Maken	Elected	Delhi	New Delhi	Indian National Congress	Male	Graduate	48	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ajit Singh	Elected	Uttar Pradesh	Baghpat	Rashtriya Lok Dal	Male	Post Graduate	73	2	0	44%	24.1	0.3	131	80%
Akhilesh Yadav	Elected	Uttar Pradesh	Kannauj	Samajwadi Party	Male	Post Graduate	39	4	0	53%	28.4	0.4	151	80%
Amarnath Pradhan	Elected	Orissa	Sambalpur	Indian National Congress	Male	Graduate	54	16	113	85%	27.4	0.6	279	76%
Ambica Banerjee	Elected	West Bengal	Howrah	All India Trinamool Congress	Male	Graduate	84	3	139	62%	34.8	0.8	135	72%
Anand Prakash Paranjpe	Elected	Maharashtra	Kalyan	Shiv Sena	Male	Post Graduate	39	10	541	63%	21	1.2	354	74%
Anandrao Adsul	Elected	Maharashtra	Amravati	Shiv Sena	Male	Graduate	65	29	886	76%	21	1.2	354	74%
Anant Gangaram Geete	Elected	Maharashtra	Raigad	Shiv Sena	Male	Matric	61	42	8	69%	21	1.2	354	74%
Anant Kumar Hegde	Elected	Karnataka	Uttara Kannada	Bharatiya Janata Party	Male	Inter/ Higher Secondary	44	14	427	80%	14.4	0.2	243	70%
Ananth Kumar	Elected	Karnataka	Bangalore South	Bharatiya Janata Party	Male	Graduate	53	14	152	87%	14.4	0.2	243	70%
Anantha Venkatarami Reddy	Elected	Andhra Pradesh	Anantapur	Indian National Congress	Male	Post Graduate	56	12	472	77%	15.2	0.4	257	70%
Andimuthu Raja	Elected	Tamil Nadu	Nilgiris	Dravida Munnetra Kazhagam	Male	Post Graduate	49	0	0	11%	20.5	0.2	163	73%
Anirudhan Sampath	Elected	Kerala	Attingal	Communist Party of India (Marxist)	Male	Post Graduate	50	67	269	78%	50.6	1.1	299	84%
Annu Tandon	Elected	Uttar Pradesh	Unnao	Indian National Congress	Female	Graduate	54	27	155	94%	33.3	0.4	178	80%
Anto Antony	Elected	Kerala	Pathanamthitta	Indian National Congress	Male	Graduate	55	60	404	89%	50.6	1.1	299	84%
Anup Kumar Saha	Elected	West Bengal	Bardhaman Purba	Communist Party of India (Marxist)	Male	Doctorate	56	17	65	90%	34.8	0.8	135	72%
Anurag Singh Thakur	Elected	Himachal Pradesh	Hamirpur	Bharatiya Janata Party	Male	Graduate	37	48	436	84%	70	0.3	273	89%
Arjun Charan Sethi	Elected	Orissa	Bhadrak	Biju Janata Dal	Male	Post Graduate	70	47	189	89%	27.4	0.6	279	76%
Arjun Munda	Elected	Jharkhand	Jamshedpur	Bharatiya Janata Party	Male	Graduate	44	3	152	43%	9.9	0.3	105	65%
Arjun Ram Meghwal	Elected	Rajasthan	Bikaner	Bharatiya Janata Party	Male	Post Graduate	58	323	487	99%	37.1	0.8	207	88%
Arjun Roy	Elected	Bihar	Sitamarhi	Janata Dal (United)	Male	Doctorate	40	23	257	91%	34.8	0.5	235	87%
Arun Subhashchandra Yadav	Elected	Madhya Pradesh	Khandwa	Indian National Congress	Male	Graduate	38	1	20	76%	17.8	0.1	88	83%
Aruna Kumar Vundavalli	Elected	Andhra Pradesh	Rajahmundry	Indian National Congress	Male	Graduate	58	15	33	100%	15.2	0.4	257	70%
Arvind Kumar Chaudhary	Elected	Uttar Pradesh	Basti	Bahujan Samaj Party	Male	Inter/ Higher Secondary	48	3	69	95%	33.3	0.4	178	80%
Arvind Kumar Sharma	Elected	Haryana	Karnal	Indian National Congress	Male	Post Graduate	48	13	67	75%	8.7	0.1	149	69%
Asaduddin Owaisi	Elected	Andhra Pradesh	Hyderabad	All India Majlis-E-Ittehadul Muslimmen	Male	Graduate	43	29	824	69%	15.2	0.4	257	70%
Ashok Argal	Elected	Madhya Pradesh	Bhind	Bharatiya Janata Party	Male	Inter/ Higher Secondary	43	54	147	92%	34.5	0.1	174	83%
Ashok Kumar Rawat	Elected	Uttar Pradesh	Misrikh	Bahujan Samaj Party	Male	Post Graduate	36	23	592	85%	33.3	0.4	178	80%
Ashok Tanwar	Elected	Haryana	Sirsa	Indian National Congress	Male	Post Graduate	36	2	136	84%	8.7	0.1	149	69%
Ashwamedh Devi	Elected	Bihar	Ujiarpur	Janata Dal (United)	Female	Under Matric	44	8	69	89%	34.8	0.5	235	87%
Asrarul Haque Mohammad	Elected	Bihar	Kishanganj	Indian National Congress	Male	Post Graduate	70	16	49	94%	34.8	0.5	235	87%
Avtar Singh Bhadana	Elected	Haryana	Faridabad	Indian National Congress	Male	Under Matric	54	8	154	51%	8.7	0.1	149	69%
Awale Jaywant Gangaram	Elected	Maharashtra	Latur	Indian National Congress	Male	Inter/ Higher Secondary	72	42	262	91%	21	1.2	354	74%
Babu Lal Marandi	Elected	Jharkhand	Kodarma	Jharkhand Vikas Morcha (Prajatantrik)	Male	Graduate	54	2	0	29%	25.9	0.8	185	65%
